passenger_class,name,age,embarked,home_destination,sex,survive
1st,"Allen,MissElisabethWalton",29,Southampton,"StLouis,MO",female,1
1st,"Allison,MissHelenLoraine",2,Southampton,"Montreal,PQ/Chesterville,ON",female,0
1st,"Allison,MrHudsonJoshuaCreighton",30,Southampton,"Montreal,PQ/Chesterville,ON",male,0
1st,"Allison,MrsHudsonJ.C.(BessieWaldoDaniels)",25,Southampton,"Montreal,PQ/Chesterville,ON",female,0
1st,"Allison,MasterHudsonTrevor",0.9167,Southampton,"Montreal,PQ/Chesterville,ON",male,1
1st,"Anderson,MrHarry",47,Southampton,"NewYork,NY",male,1
1st,"Andrews,MissKorneliaTheodosia",63,Southampton,"Hudson,NY",female,1
1st,"Andrews,MrThomas,jr",39,Southampton,"Belfast,NI",male,0
1st,"Appleton,MrsEdwardDale(CharlotteLamson)",58,Southampton,"Bayside,Queens,NY",female,1
1st,"Artagaveytia,MrRamon",71,Cherbourg,"Montevideo,Uruguay",male,0
1st,"Astor,ColonelJohnJacob",47,Cherbourg,"NewYork,NY",male,0
1st,"Astor,MrsJohnJacob(MadeleineTalmadgeForce)",19,Cherbourg,"NewYork,NY",female,1
1st,"Aubert,MrsLeontinePauline",30,Cherbourg,"Paris,France",female,1
1st,"Barkworth,MrAlgernonH.",30,Southampton,"Hessle,Yorks",male,1
1st,"Baumann,MrJohnD.",30,Southampton,"NewYork,NY",male,0
1st,"Baxter,MrsJames(HeleneDeLaudeniereChaput)",50,Cherbourg,"Montreal,PQ",female,1
1st,"Baxter,MrQuiggEdmond",24,Cherbourg,"Montreal,PQ",male,0
1st,"Beattie,MrThomson",36,Cherbourg,"Winnipeg,MN",male,0
1st,"Beckwith,MrRichardLeonard",37,Southampton,"NewYork,NY",male,1
1st,"Beckwith,MrsRichardLeonard(SallieMonypeny)",47,Southampton,"NewYork,NY",female,1
1st,"Behr,MrKarlHowell",26,Cherbourg,"NewYork,NY",male,1
1st,"Birnbaum,MrJakob",25,Cherbourg,"SanFrancisco,CA",male,0
1st,"Bishop,MrDickinsonH.",25,Cherbourg,"Dowagiac,MI",male,1
1st,"Bishop,MrsDickinsonH.(HelenWalton)",19,Cherbourg,"Dowagiac,MI",female,1
1st,"Bjornstrm-Steffansson,MrMauritzHakan",28,Southampton,"Stockholm,Sweden/Washington,DC",male,1
1st,"Blackwell,MrStephenWeart",45,Southampton,"Trenton,NJ",male,0
1st,"Blank,MrHenry",39,Cherbourg,"GlenRidge,NJ",male,1
1st,"Bonnell,MissCaroline",30,Southampton,"Youngstown,OH",female,1
1st,"Bonnell,MissElizabeth",58,Southampton,"Birkdale,EnglandCleveland,Ohio",female,1
1st,"Borebank,MrJohnJames",30,Southampton,"London/Winnipeg,MB",male,0
1st,"Bowen,MissGraceScott",45,Cherbourg,"Cooperstown,NY",female,1
1st,"Bowerman,MissElsieEdith",22,Southampton,"StLeonards-on-Sea,EnglandOhio",female,1
1st,"Bradley,MrGeorge",30,Southampton,"LosAngeles,CA",male,1
1st,"Brady,MrJohnBertram",41,Southampton,"Pomeroy,WA",male,0
1st,"Brandeis,MrEmil",48,Cherbourg,"Omaha,NE",male,0
1st,"Brewe,DrArthurJackson",30,Cherbourg,"Philadelphia,PA",male,0
1st,"Brown,MrsJamesJoseph(MargaretMolly""Tobin)""""""",44,Cherbourg,"Denver,CO",female,1
1st,"Brown,MrsJohnMurray(CarolineLaneLamson)",59,Southampton,"Belmont,MA",female,1
1st,"Bucknell,MrsWilliamRobert(EmmaElizaWard)",60,Cherbourg,"Philadelphia,PA",female,1
1st,"Butt,MajorArchibaldWillingham",45,Southampton,"Washington,DC",male,0
1st,"Calderhead,MrEdwardP.",30,Southampton,"NewYork,NY",male,1
1st,"Candee,MrsEdward(HelenChurchillHungerford)",53,Cherbourg,"Washington,DC",female,1
1st,"Cardeza,MrsJamesWarburtonMartinez(CharlotteWardleDrake)",58,Cherbourg,"Germantown,Philadelphia,PA",female,1
1st,"Cardeza,MrThomasDrakeMartinez",36,Cherbourg,"Austria-Hungary/Germantown,Philadelphia,PA",male,1
1st,"Carlsson,MrFransOlof",33,Southampton,"NewYork,NY",male,0
1st,"Carrau,MrFranciscoM.",30,Southampton,"Montevideo,Uruguay",male,0
1st,"Carrau,MrJosePedro",30,Southampton,"Montevideo,Uruguay",male,0
1st,"Carter,MrWilliamErnest",36,Southampton,"BrynMawr,PA",male,1
1st,"Carter,MrsWilliamErnest(LucilePolk)",36,Southampton,"BrynMawr,PA",female,1
1st,"Carter,MissLucilePolk",14,Southampton,"BrynMawr,PA",female,1
1st,"Carter,MasterWilliamT.II",11,Southampton,"BrynMawr,PA",male,1
1st,"Case,MrHowardBrown",49,Southampton,"Ascot,Berkshire/Rochester,NY",male,0
1st,"Cassebeer,MrsHenryArthurjr(GenevieveFosdick)",30,Cherbourg,"NewYork,NY",female,1
1st,"Cavendish,MrTyrellWilliam",36,Southampton,"LittleOnnHall,Staffs",male,0
1st,"Cavendish,MrsTyrellWilliamJuliaFlorenceSiegel",30,Southampton,"LittleOnnHall,Staffs",female,1
1st,"Chaffee,MrHerbertFuller",46,Southampton,"Amenia,ND",male,0
1st,"Chaffee,MrsHerbertFuller(CarrieConstanceToogood)",47,Southampton,"Amenia,ND",female,1
1st,"Chambers,MrNormanCampbell",27,Southampton,"NewYork,NY/Ithaca,NY",male,1
1st,"Chambers,MrsNormanCampbell(BerthaGriggs)",31,Southampton,"NewYork,NY/Ithaca,NY",female,1
1st,"Cherry,MissGladys",30,Southampton,"London,England",female,1
1st,"Chevre,MrPaul",30,Cherbourg,"Paris,France",male,1
1st,"Chibnall(Bowerman),MrsEdithMartha",30,Southampton,"StLeonards-on-Sea,EnglandOhio",female,1
1st,"Chisholm,MrRoderickRobert",30,Southampton,"Liverpool,England/Belfast",male,0
1st,"Clark,MrWalterMiller",27,Cherbourg,"LosAngeles,CA",male,0
1st,"Clark,MrsWalterMiller(VirginiaMcDowell)",26,Cherbourg,"LosAngeles,CA",female,1
1st,"Clifford,MrGeorgeQuincy",30,Southampton,"Stoughton,MA",male,0
1st,"Colley,MrEdwardPomeroy",30,Southampton,"Victoria,BC",male,0
1st,"Compton,MrsAlexanderTaylor(MaryElizaIngersoll)",64,Cherbourg,"Lakewood,NJ",female,1
1st,"Compton,MrAlexanderTaylor,Jr",37,Cherbourg,"Lakewood,NJ",male,0
1st,"Compton,MissSaraRebecca",39,Cherbourg,"Lakewood,NJ",female,1
1st,"Cornell,MrsRobertClifford(MalvinaHelenLamson)",55,Southampton,"NewYork,NY",female,1
1st,"Crafton,MrJohnBertram",30,Southampton,"Roachdale,IN",male,0
1st,"Crosby,CaptainEdwardGifford",70,Southampton,"Milwaukee,WI",male,0
1st,"Crosby,MrsEdwardGifford(CatherineElizabethHalstead)",69,Southampton,"Milwaukee,WI",female,1
1st,"Crosby,MissHarrietR.",36,Southampton,"Milwaukee,WI",female,1
1st,"Cumings,MrJohnBradley",39,Cherbourg,"NewYork,NY",male,0
1st,"Cumings,MrsJohnBradley(FlorenceBriggsThayer)",38,Cherbourg,"NewYork,NY",female,1
1st,"Daly,MrPeterDenis",30,Southampton,"Lima,Peru",male,1
1st,"Daniel,MrRobertWilliams",27,Southampton,"Philadelphia,PA",male,1
1st,"Davidson,MrThornton",31,Southampton,"Montreal,PQ",male,0
